"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.3","OQ.6","OQ.9","OQ.12","OQ.15"
"14","HAWTHORNE.NATHANIEL","0312446497","9780312446499","AMERICAN.LIT.SCARLET.LETTER",2006-07-31,"PT","AS",735,0,0,24,"",NA,"No Review",466,438,858,935,1400
"15","CONRAD.JOSEPH","0312457537","9780312457532","HEART.OF.DARKNESS.3E.CSCC",2010-12-27,"PT","AS",778,40,0,0,"",NA,"No Review",17,88,599,700,717
"16","MURFIN.ROSS.C.","0312461887","9780312461881","BEDFORD.GLOSSARY.CRIT..LIT.3E",2008-11-18,"PT","AS",1785,54,0,59,"0312259107","9780312259105","No Review",856,1077,2326,2638,3494
"17","KEITH.WILLIAM.M.","0312472390","9780312472399","ESSENTIAL.GDE.TO.RHETORIC",2008-02-22,"PT","AS",2375,0,0,120,"",NA,"No Review",428,816,1989,2696,3123
"18","O.GRADY.WILLIAM","0312555288","9780312555283","CONTEMPORARY.LINGUISTICS.6E",2009-08-13,"PT","AS",1790,0,0,26,"0312419368","9780312419363","No Review",-152,-237,1253,1538,1387
"19","RYAN.LEIGH","0312566735","9780312566739","BDF.GDE.WRITING.TUTORS.5E",2009-12-24,"PT","AS",802,0,0,3,"0312440685","9780312440688","No Review",490,708,2075,2876,3366
"20","HOUSTON.BRANT","0312589972","9780312589974","INVESTIGATIVE.REPORT.HBK.5E.REPRINT",2008-12-03,"PT","AS",871,0,0,0,"0312248237","9780312248239","No Review",393,664,1696,1934,2327
"21","ROWSON.SUSANNA","0312596804","9780312596804","AMERICAN.LIT.CHARLOTTE.TEMPLE",2010-09-23,"PT","AS",233,0,0,29,"",NA,"No Review",229,291,535,786,1015
"22","GRAY.WHITE.DEBORAH","0312648847","9780312648848","FREEDOM.ON.MY.MIND.V2",2012-12-14,"PT","AS",712,0,0,14,"",NA,"No Review",181,143,391,388,570
"23","MCMILLAN.VICTORIA.E.","0312649711","9780312649715","WRITING.PAPERS.BIO.SCIENCES.5E",2011-12-07,"SP","AS",1389,0,0,76,"0312440839","9780312440831","No Review",338,675,1013,1351,1688
"24","ROARK.JAMES.L.","0312666764","9780312666767","AMERICAN.PROMISE.CONCISE.5E.CMB",2013-08-15,"PT","AS",205,0,0,20,"031253406X","9780312534066","No Review",829,1289,7902,9195,10024
"25","SELLERS.HEATHER","0312676026","9780312676025","PRACTICE.CREATIVE.WRITING.2E",2012-08-10,"PT","AS",2057,47,0,2,"0312436475","9780312436476","No Review",381,761,1142,1523,1904
